           word  frequency
852     ಪ್ರಾಯ       1244 no
538    ತೊಂದರೆ      17122 no
1227  ವಿಚಾರಣೆ      25550 no
871        ಬಣ       1476 no
1210     ವಾಯು       4926 no
          word  frequency
423       ಗೌರಿ      15819 no
22     ಅಟ್ಟಹಾಸ       1339 no
788    ಪ್ರಕಾಶನ       6154 no
1448      ಸಮೂಹ       5001 no
1331      ಶಿಶು       3916 no
885      ಬರ್ಬರ       1716 no
326       ಕೆಲಸ     148676 no
463        ಜಮೆ       1067 no
1463      ಸಲಹೆ      31976 no
589       ದೋಣಿ       2374 no
193      ಎಚ್ಚರ       8533 no
918      ಬಿದ್ದ      13074 no
1263  ವಿಸರ್ಜನೆ       3224 no
1045      ಮಿತಿ       5458 no
1238    ವಿನಾಯಕ       3170 no
545      ದಂಪತಿ       7092 no
834   ಪ್ರಶಸ್ತಿ      66694 no
458         ಛಲ       1796 no
1460   ಸರ್ವಜ್ಞ       1421 yes
209        ಔಷಧ       5396 no
          word  frequency 
408       ಗುರಿ      24918 no
1473       ಸಹಜ      12322 no
739     ಪರೋಕ್ಷ       1730 no
1117     ಯೋಚನೆ       9514 no
940      ಬೆಲ್ಲ       4288 no
1189      ವರದಿ      51581 no
379        ಗಣಿ       5189 no
1051     ಮೀಸಲು       5607 no
48       ಅನುಭವ      28822 no
195    ಎಡವಟ್ಟು       1815 no
839     ಪ್ರಸಾದ       7342 no
876      ಬದುಕು      23230 no
670    ನಿಲ್ದಾಣ      13000 no
575   ದುರ್ಘಟನೆ       1334 no
1166      ಲಭ್ಯ       8889 no
1199       ವಲಯ       8973 no
1        ಅಂಕಿತ       1288 no
1433    ಸಮನ್ವಯ       4718 no
641      ನಿಗದಿ      10036 no
762   ಪುರಸ್ಕಾರ       4843 no
          word  frequency
687       ನೆರೆ       4161 yes
1296  ವ್ಯಾಪ್ತಿ       3331 no
1313     ಶಾಂತಿ      16779 no
217       ಕಂದು      22861 no
298      ಕೀಟಲೆ       2184 no
872       ಬಣ್ಣ      23290 no
874       ಬದಲು      19287 no
30    ಅತ್ಯಾಚಾರ      21814 no
1137     ರಶ್ಮಿ       2563 no
1405      ಸಂಯಮ       1323 no 
109       ಆಚಾರ       1445 no
1472    ಸಹಕಾರಿ      10286 no
1354         ಸ       4518 no
228        ಕಡು       1619 no 
452   ಚುಕ್ಕಾಣಿ       1796 no
207      ಒತ್ತು       7467 no
451       ಚೀನಿ       1226 no
348       ಕೋರಿ       6265 no
223      ಕಟ್ಟು       3243 no
1554     ಸೋಂಕು       3897 no
            word  frequency
486         ತಂತಿ       2206 no
586         ದೇಸಿ       3844 no
283    ಕಾರ್ಯಕ್ರಮ      52790 no
816       ಪ್ರಪಂಚ       6198 no
1203       ವಸ್ತು      20152 no
260         ಕಳ್ಳ       5559 no
68    ಅಭಿವ್ಯಕ್ತಿ       3131 no
466           ಜಲ       7556 no
1192        ವರ್ಗ      13688 no
543          ದಂತ       2161 yes
689         ನೆಲೆ       4507 maybe
44          ಅನಿಲ       5792 no
1168       ಲಸಿಕೆ       2034 no
1055       ಮುಕ್ತ      19904 no
330         ಕೇಸು       2897 no
931       ಬುದ್ಧಿ       6457 no
1310        ಶರಣು       2094 no
35        ಅಧಿಕಾರ      26104 no
114         ಆತಂಕ      13024 no
291      ಕಾಶ್ಮೀರ       7520 no
          word  frequency 
1396  ಸಂಪ್ರದಾಯ       3962 no
1061     ಮುಗ್ಧ       2577 no
1413   ಸಂಸ್ಥಾನ       1747 no
1258     ವಿಶ್ವ      45138 no
214       ಕಂಡು      34808 no
1418     ಸಜ್ಜನ       1227 no
717     ಪದ್ಧತಿ       8782 no
1360     ಸಂಕೇತ       3165 no
785     ಪ್ರಕರಣ      67725 no
909      ಬಾಹಿರ       1199 no
350        ಕೋಶ       2148 yes
14       ಅಗತ್ಯ      36863 no
1186       ವಧು       2304 no
183       ಉಪಾಯ       2642 no
496       ತತ್ವ       3506 no
591     ದೋಸ್ತಿ       2262 no
683       ನೂತನ      33831 no
164   ಉತ್ಪತ್ತಿ       1330 no
367     ಖ್ಯಾತಿ       4735 no
1148       ರಾಮ      13360 no
          word  frequency
957      ಭಯಾನಕ       3343 no
33      ಅದ್ಭುತ      20455 no
1070     ಮುನ್ನ      34966 no
460       ಜಂಟಿ       9001 no
556         ದಳ       3989 yes
1205     ವಾಕ್ಯ       2311 no
671      ನಿವಾಸ       2445 no
65       ಅಭಿಮತ       1819 no
341     ಕೊಬ್ಬು       2813 no
1241   ವಿನ್ಯಾಸ      14747 no
134       ಆರತಿ       2558 no
64    ಅಭಿಪ್ರಾಯ      25837 no
100        ಅಹಂ       3783 no
1087       ಮೇಳ       8100 no
884        ಬರೆ       2293 yes
246        ಕರೆ      36298 no
1445    ಸಮಾವೇಶ       8093 no
313        ಕುಲ       1273 no
250       ಕಲರವ       1168 no
947       ಬೇಳೆ       2971 no
         word  frequency
190       ಊಹೆ       1502 no
845    ಪ್ರಾಂತ       1114 no
96    ಅಶ್ವಿನಿ       2183 no
1383     ಸಂತೆ       1903 no
1053  ಮುಂಜಾನೆ       6830 no 
1623    ಹೀನಾಯ       1541 no
1412  ಸಂಸ್ಕಾರ       4063 no
31      ಅದಿರು       2550 yes
695   ನೈವೇದ್ಯ       1206 no
417        ಗೋ       5597 no
465     ಜಯಂತಿ      19331 no
1025     ಮಾಡು      15632 no
627      ನಾಗರ       1916 no
655     ನಿಯೋಗ       1803 no
980      ಭೂಮಿ      17879 no
1455     ಸರಣಿ      17911 no
174     ಉದ್ಯಮ       9807 no
715     ಪದಬಂಧ       1411 no
686     ನೆರವು      15817 no
809    ಪ್ರತೀಕ       1473 no
        word  frequency 
1268   ವೃತ್ತ       4197 no
792   ಪ್ರಚಂಡ       1072 no
892      ಬಳೆ       1061 no
1315     ಶಾಪ       2115 no
1004      ಮನ      11432 no
511     ತಾರೆ      15191 no
25      ಅಡ್ಡ       5662 yes 
321     ಕೃಷಿ     114612 no
1516    ಸೀಮೆ       1405 yes
1590    ಹಗರಣ       5887 no
1456     ಸರಳ      21165 no
1459     ಸರಿ      39264 yes
1587  ಹಂಚಿಕೆ      11009 no
263      ಕವಿ      13036 no
979      ಭೂತ       2472 yes
1369  ಸಂಗ್ರಹ      11190 no
1444  ಸಮಾರಂಭ      10980 no
416   ಗೊಬ್ಬರ       3295 no
907    ಬಾಲ್ಯ       4374 no
308   ಕುತ್ತು       1443 no
         word  frequency
1118    ಯೋಜನೆ      58122 no
337    ಕೊಟ್ಟೆ       1790 no
547      ದಟ್ಟ       2351 no
1099      ಮೋಹ       1243 no
1303     ಶಂಕೆ       3249 no
1327     ಶಿರಾ       1138 yes
552      ದಪ್ಪ       7112 no
1181     ವಕೀಲ       5889 no
267   ಕಸರತ್ತು       3604 yes
822    ಪ್ರಮುಖ      86499 no
1530   ಸುಮಾರು      98971 no
131      ಆಯುಧ       2195 no
1467    ಸವಾಲು      13934 no
123      ಆನಂದ       7975 no
232     ಕಡ್ಡಿ       1554 no
699     ನ್ಯಾಯ      12773 no
1162    ಲಕ್ಷಣ       3251 no
1505    ಸಿಂಧು       5039 no
92     ಅವಲೋಕನ       3265 no
1491  ಸಾಮರಸ್ಯ       1727 no
           word  frequency
8          ಅಂದು      20503 no
1510   ಸಿದ್ಧಾಂತ       3018 no
225        ಕಠಿಣ      13441 no
1190     ವರಿಷ್ಠ       2188 no
1096        ಮೋಡ       2544 no
243         ಕರಿ       1797 no
448       ಚಿತ್ರ     130747 no
442         ಚಲನ       1588 no
1291    ವ್ಯವಹಾರ      10979 no
814      ಪ್ರದೇಶ      24913 no 
757         ಪೀಠ       6680 no
1307        ಶಮನ       1102 no
1438     ಸಮಸ್ಯೆ      50340 no
230        ಕಡೆಯ       3859 no
801   ಪ್ರತಿನಿಧಿ       3400 no
813      ಪ್ರದಾನ       9189 no
52        ಅನುವು       3290 no 
167      ಉತ್ಸಾಹ       5756 no
612        ನಕಲಿ      14269 no
919      ಬಿರುಕು       4193 no
           word  frequency
59       ಅಪ್ಪಣೆ       1014 no
1324     ಶಿಕ್ಷೆ      15855 no
470        ಜಾಡು       1494 no
1570      ಸ್ನೇಹ       8202 no
1274       ವೇತನ      21031 no
1176       ಲೇಖಕ      11439 no
579        ದೂರು      45331 no
802   ಪ್ರತಿಪಕ್ಷ       2068 no
703        ಪಕ್ಷ      38837 yes
562        ದಾರಿ      23371 no
1042      ಮಾಸಿಕ       4792 no
1490    ಸಾಮಗ್ರಿ       3545 no
335       ಕೊಂಡಿ       9896 no
1289     ವ್ಯರ್ಥ       4157 no
10      ಅಕಾಡೆಮಿ      12010 no
1062     ಮುಟ್ಟಿ       1932 no
1245      ವಿಮಾನ      38162 no
1216     ವಾಸ್ತವ       5838 no
515        ತಾಸು       2290 no
234      ಕತ್ತರಿ       2290 no
           word  frequency 
1496  ಸಾಮ್ರಾಜ್ಯ       2306 no
1145       ರಾಜಿ       2067 no
235       ಕತ್ತು       1986 no
593        ದ್ರವ       1757 no
1465       ಸವಾರ       3209 no
1074    ಮುಹೂರ್ತ      10161 no
657    ನಿರೀಕ್ಷೆ      13742 no
1595        ಹಣೆ       1034 no
1134      ರವಾನೆ       1720 no
493          ತಡ       3755 no
362       ಖಂಡನೆ       1790 no
1647     ಹೊಲಿಗೆ       2640 no
1080     ಮೃತ್ಯು       1842 no
669      ನಿಲುವು      12698 no
245       ಕರುಳು       1028 no
1269     ವೃತ್ತಿ      16317 no
1422       ಸತ್ರ       1127 no
1500   ಸಾರ್ವಭೌಮ       1800 no
576       ದುಷ್ಟ       2518 no
1581     ಸ್ವರ್ಗ       2851 no
          word  frequency
1352   ಶ್ರೇಷ್ಠ      10706 no
189       ಉಷ್ಣ       1128 no
1565    ಸ್ಥಾಯಿ       4140 no
1244     ವಿಭಾಗ      16182 no
725     ಪರಸ್ಪರ      16145 no
1306      ಶಬ್ದ       7262 no
1215      ವಾಸಿ       2011 no
721     ಪರಂಪರೆ       4515 no
592   ದೌರ್ಬಲ್ಯ       1483 no
57       ಅಪಹರಣ       3420 no
942   ಬೆಳವಣಿಗೆ      14645 no
462       ಜನಪದ       5451 no
1003     ಮಧ್ಯೆ      29974 no
138      ಆರೈಕೆ       4910 no
971      ಭಾವನೆ      11467 no
359   ಕ್ಷುಲ್ಲಕ       2017 no
32      ಅದೃಷ್ಟ       8905 no
910      ಬಾಹ್ಯ       8284 no
837     ಪ್ರಸಂಗ       4289 no
1208       ವಾದ       9082 no
          word  frequency
755      ಪಾವತಿ      10175 no
1231  ವಿಜ್ಞಾನಿ       4184 no
646    ನಿದರ್ಶನ       1664 no
143   ಆವಿಷ್ಕಾರ       1110 no 
1648     ಹೊಳಪು       1286 no
297        ಕೀಟ       1168 no
782      ಪ್ರಕಟ       8301 no
955       ಭದ್ರ       1759 no
1009     ಮನೋಹರ       3307 no
1143       ರಾಜ      11512 no
608      ಧ್ರುವ       7457 yes
1392    ಸಂಪರ್ಕ      41538 no
125    ಆಮಂತ್ರಣ       4307 no
580        ದೃಢ       2075 no
130       ಆಯಾಸ       1284 no
613       ನಕಲು       3156 no
248       ಕರ್ಮ       2908 yes
1332     ಶಿಷ್ಯ       2377 no
403       ಗುಡಿ       2855 no
1402   ಸಂಭಾವ್ಯ       2213 no
         word  frequency
1370      ಸಂಘ      24124 no
1287  ವ್ಯತ್ಯಯ       1277 no
1209    ವಾದ್ಯ       1167 no
1450  ಸಮೃದ್ಧಿ       1782 no
484     ಠೇವಣಿ       4255 no
1552    ಸೊಬಗು       1345 no
754      ಪಾಲು       6857 no
770     ಪೂಜ್ಯ       1865 no
565    ದಿಕ್ಕು       3227 no 
1501      ಸಾಲ      47112 no
1246    ವಿರಾಮ       3212 no
625     ನಾಂದಿ       2361 no
1158      ರೂಪ      11149 no
384       ಗರಂ       5140 no
1333   ಶಿಸ್ತು       4667 no
433        ಘನ       3405 no
181     ಉಪವಾಸ       6506 no
1048    ಮಿಶ್ರ       4679 no
581     ದೃಶ್ಯ      11756 no
1195   ವರ್ತನೆ       4446 no
          word  frequency
986       ಮಂಟಪ       3268 no
1649      ಹೊಳೆ       2866 yes
1082  ಮೆಚ್ಚುಗೆ       8514 no
1123      ರಕ್ತ      12115 no
1558   ಸೌಭಾಗ್ಯ       1607 no
173     ಉದ್ದೇಶ      14326 no
187    ಉಲ್ಲೇಖನ       1641 no
1410   ಸಂಸತ್ತು       1172 no
710        ಪತಿ      12758 no
289      ಕಾವಲು       1392 no
342     ಕೊಯ್ಲು       1182 no
105     ಆಕ್ರೋಶ      16618 no
98       ಅಸೂಯೆ       1268 no
161       ಉಚ್ಚ       1163 no
126       ಆಮದು       5005 no
1146     ರಾಜೀವ       1131 no
229        ಕಡೆ      52509 no
1094     ಮೋಕ್ಷ       2280 no
236        ಕದನ       6642 no
1539     ಸೂಚನೆ      31345 no
            word  frequency
1113       ಯುವತಿ       8279 no
296     ಕಿವಿಮಾತು       2187 no
1389       ಸಂಧಾನ       1840 no
1503        ಸಾಹಸ      10238 no
1067      ಮುದ್ದೆ       1376 no
1564      ಸ್ಥಾಪಕ       1652 no
1013         ಮರಣ       6891 no
1091       ಮೊತ್ತ      11079 no
1571  ಸ್ಪಷ್ಟೀಕರಣ       1012 no
1522      ಸುಗ್ಗಿ       2802 no
449     ಚಿರಂಜೀವಿ       4792 no
850    ಪ್ರಾಧಿಕಾರ       7388 no
1468         ಸವಿ       2599 no
428      ಗ್ರಾಮೀಣ      30709 no
5         ಅಂತರಂಗ       1214 no
212         ಕಂಟಕ       1246 no
863         ಬಂಡಿ       2132 no
154        ಇಂದ್ರ       1073 no
818        ಪ್ರಬಲ       8191 no
1229        ವಿಜಯ      22548 no
          word  frequency
1562    ಸ್ಥಗಿತ       3794 no
457    ಚೌಕಟ್ಟು       1986 no
1267     ವೀರ್ಯ      11040 no
1242    ವಿಪಕ್ಷ       1493 no
1620       ಹಿಮ       1418 no
1089        ಮೈ      12098 no
1038     ಮಾರ್ಗ      13314 no
373         ಗಜ       1260 yes
487      ತಂತ್ರ       6797 no
974       ಭಾಷೆ      24865 no
1619  ಹಿನ್ನೆಲೆ      12495 no
1300   ವ್ಯಾಸಂಗ       4223 no
963        ಭಾಗ      33697 no
1079       ಮೃತ       8803 no
346       ಕೋಡಿ       1314 no
645      ನಿತ್ಯ      17910 no
4         ಅಂತರ       5721 no
1632   ಹೆಗ್ಗಡೆ       2565 no
1601      ಹರಟೆ       3017 no
917     ಬಿಡುವು       2337 no
           word  frequency
1086     ಮೇಲುಗೈ       2103 no
849      ಪ್ರಾಣಿ       7052 no
218         ಕಂಬ       1136 no
514        ತಾವು      29142 no
18      ಅಗ್ರಹಾರ       1999 no
1477       ಸಹಿತ      11133 no
254         ಕಲೆ      78062 no
673     ನಿಶ್ಚಿತ       3217 no
1550      ಸೊಗಡು       1191 no
1361  ಸಂಕ್ರಾಂತಿ       4096 no
1017      ಮಳಿಗೆ       3297 no
1301       ವ್ರತ       1635 no
583      ದೇಣಿಗೆ       4009 no
467        ಜವಳಿ       2243 no
527       ತುಡಿತ       1061 no
965        ಭಾಗಿ       6104 no
649       ನಿಧಾನ       1320 no
637      ನಾಮಕರಣ       3067 no
317        ಕೂಸು       2024 no
1177        ಲೋಕ      12562 no
           word  frequency
412         ಗೃಹ      15518 no
443      ಚಲಾವಣೆ       1579 no
1308        ಶಮಿ       2168 no
1421       ಸತ್ಯ      26317 no
1128       ರಜನಿ       3577 no
1654       ಹೋಳಿ       1674 no
349      ಕೋರಿಕೆ       2017 no
846   ಪ್ರಾಚಾರ್ಯ       1820 no
958       ಭರವಸೆ      25283 no
480       ಜ್ಞಾನ      18363 no
405       ಗುಡ್ಡ       2972 no
507         ತಳಿ       1746 no
1114        ಯೋಗ      18923 no
1356      ಸಂಕಲನ       9474 no
1466      ಸವಾರಿ       5439 no
638        ನಾಯಕ      52380 no
1357     ಸಂಕಲ್ಪ       3225 no
34         ಅಧಿಕ      24748 no
1577      ಸ್ವಗತ       1201 no
1131         ರಥ       1710 no
          word  frequency 
1193  ವರ್ಗಾವಣೆ      13666 no
1002     ಮಧ್ಯಮ      13069 no
727     ಪರಿಚಿತ       1280 no
1036      ಮಾರಿ       2818 yes
1447    ಸಮುದ್ರ       8760 no
915       ಬಿಡು       4417 no
1635    ಹೆಚ್ಚು     226535 no
748        ಪಾದ       4896 no
1540     ಸೂತ್ರ       2956 no
943       ಬೆಳೆ      14825 no
1073    ಮುಷ್ಕರ       4695 no
987       ಮಂಡಿ       1056 yes
365       ಖಾತೆ      29442 no
997         ಮತ      31083 yes
185        ಉರಿ       2290 no
436      ಘೋಷಣೆ      18435 no
151        ಆಸೆ      16855 no
890       ಬಳಕೆ      29343 no
1249    ವಿರೋಧಿ      13320 no
1299     ವ್ಯಾಸ       1131 no
          word  frequency
81      ಅಲಂಕಾರ       3905 no
1502      ಸಾಲು      10378 no
916    ಬಿಡುಗಡೆ      83330 no
1441    ಸಮಾಧಾನ       6737 no
797      ಪ್ರತಿ      83650 yes
157      ಉಕ್ಕು       1045 no
1078      ಮೂಲೆ       3398 no
501       ತರಂಗ       1047 no
1090    ಮೊಟ್ಟೆ       5025 no
707        ಪಡೆ       6429 no
1271    ವೃದ್ಧಿ       1524 no
594     ದ್ರವ್ಯ       1368 no
1024       ಮಾಡ       1876 no
858        ಫಲಕ       2999 no
1022   ಮಹೋತ್ಸವ       5695 no
55         ಅಪರ       2967 no
1228  ವಿಚ್ಛೇದನ       2273 no
1592        ಹಠ       2518 no
41        ಅನಂತ       7403 no
1239    ವಿನಿಮಯ       8349 no
          word  frequency
376       ಗಡ್ಡ       1906 no
886         ಬಲ      13300 no
653   ನಿಯಂತ್ರಣ      20124 no
1578  ಸ್ವತಂತ್ರ      11013 no
351       ಕೌಶಲ       1686 no
1382     ಸಂತಾಪ       3656 no
378       ಗಣತಿ       1345 no
617       ನಟನೆ       4689 no
1400      ಸಂಭವ       1980 no
83         ಅಲೆ       4779 maybe
478       ಜೋಕೆ       1436 no
1351    ಶ್ರೇಣಿ       2325 no
441      ಚರ್ಚೆ      30876 no
1415       ಸಕಲ       7483 no
1171      ಲಿಂಗ       6464 yes
1105      ಯಕ್ಷ       1734 no
150        ಆಸನ       1334 no
270     ಕಾಡಿಗೆ       1825 no
964      ಭಾಗವತ       1906 no
1627    ಹುದ್ದೆ       8312 no
          word  frequency
1386   ಸಂದರ್ಶನ      11945 no
859    ಫಲಿತಾಂಶ      23780 no
510      ತಾಮ್ರ       1119 no
1394     ಸಂಪುಟ      25937 no
779        ಪೌರ       1884 no
1335       ಶೀತ       1767 no
1197      ವರ್ಮ       1366 no
1221     ವಿಕಸನ       2367 no
309      ಕುಮಾರ       6929 no
1041       ಮಾಸ       3500 no
1556    ಸೌಜನ್ಯ       1285 no
488       ತಂಪು       2615 no
1321  ಶಾಸ್ತ್ರಿ       4678 no
477       ಜೀವನ      53504 no
900        ಬಾಣ       1521 no
993         ಮಠ       9333 no
1399      ಸಂಬಳ       8726 no
709        ಪತನ       4090 no
393        ಗಾಢ       1831 no
1612      ಹಾಡಿ       3585 no
          word  frequency
1163   ಲಕ್ಷ್ಮಿ       7501 no
269      ಕಾಂತಿ       1464 no
1388     ಸಂದೇಶ      16151 no
1452        ಸರ       2036 no
56       ಅಪರಾಧ      13592 no
84        ಅಲ್ಪ       5658 no
1212    ವಾರ್ತೆ      11543 no
1026      ಮಾತು      64048 no
339       ಕೊನೆ       8383 no
9          ಅಂಶ       9798 no
1482  ಸಾಗಾಣಿಕೆ       1252 no
1591      ಹಗುರ       1292 no
733    ಪರಿವಿಡಿ       1049 no
1639    ಹೊಟ್ಟೆ      10724 no
1377      ಸಂಚು       5254 no
1532  ಸುರಕ್ಷಿತ       7021 no
692       ನೇಮಕ      13145 no
1494    ಸಾಮಾನು       1406 no
494        ತಡೆ       9135 no
719        ಪಯಣ       5631 no
         word  frequency 
769      ಪೂಜೆ      27240 no
1519    ಸುಂದರ      25709 no
1642    ಹೊನಲು       3851 no
742    ಪಲ್ಲವಿ       2559 no
1457  ಸರಸ್ವತಿ       4406 no
152      ಆಹಾರ      49480 no
982     ಭ್ರಮೆ       1738 no
1030     ಮಾಧವ       1717 no
551       ದನಿ       2981 no
312     ಕುರುಬ       1753 no
648      ನಿಧನ       7205 no
828     ಪ್ರಳಯ       1029 no
273   ಕಾದಂಬರಿ       8744 no
71       ಅಮೃತ       3224 no
508     ತಳ್ಳಿ       2564 no
999       ಮಧು       4618 no
563     ದಾರುಣ       1917 no
1368    ಸಂಗೀತ      44670 no
1593     ಹಡಗು       4712 no
1489   ಸಾಬೀತು       3819 no
        word  frequency 
356   ಕ್ವಿಜ್       2689 no
3        ಅಂತ     129075 no
1535  ಸುವರ್ಣ      17622 no
1302   ಶಂಕಿತ       1431 no
1322  ಶಿಕ್ಷಕ       9717 no
1446   ಸಮಿತಿ      41237 no
325      ಕೆಲ      37805 no
17      ಅಗ್ರ       2914 no
1311    ಶರ್ಮ       3930 no
1102     ಮೌನ       9406 no
179    ಉಪದೇಶ       1380 no
1487    ಸಾಧು       3299 no
268      ಕಸಿ       1384 no
956    ಭಯಂಕರ       2110 no
1011   ಮನ್ನಾ      18216 no
1618     ಹಿತ       3360 no
1044   ಮಿಂಚು       2057 no
388    ಗಲಾಟೆ       5151 no
728   ಪರಿಣಾಮ      34670 no
62      ಅಭಾವ       2619 no
        word  frequency
944      ಬೇಡ      32370 no
1553  ಸೊಳ್ಳೆ       1681 no
1010  ಮನ್ನಣೆ       3255 no
104   ಆಕ್ರಮಣ       1974 no
618      ನಡು       1365 no
922   ಬಿಳುಪು       1006 no
331       ಕೈ      53963 no
153   ಆಹ್ವಾನ      45705 no
1115    ಯೋಗಿ      11520 no
490    ತಗ್ಗು       1063 no
826   ಪ್ರಯೋಗ       6704 no
1398  ಸಂಬಂಧಿ       4867 no
1253   ವಿವಾದ      15932 no
292   ಕಿಚ್ಚು       1556 no
129     ಆಯಾಮ       1563 no
1155    ರೀತಿ      59153 no
606    ಧ್ಯಾನ       5885 no
553       ದರ      33286 no
1336   ಶುದ್ಧ      10203 no
535     ತೆರೆ      11718 maybe
            word  frequency 
1493     ಸಾಮಾಜಿಕ     131075 no
577   ದುಷ್ಪರಿಣಾಮ       1199 no
61           ಅಭಯ       2674 no
456          ಚೌಕ       1152 no
784      ಪ್ರಕಟಿತ       1991 no
681         ನೀರು      96339 no
585         ದೇಶಿ       1275 no
435          ಘೋರ       2205 no
1144      ರಾಜಕೀಯ      76484 no
981          ಭೇದ       1313 no
741         ಪರ್ವ       2046 no
336       ಕೊಟ್ಟು      20646 no
690         ನೇಣು       3318 no
860        ಬಂಗಾರ       3420 no
253        ಕಲಿಕೆ       4201 no
1000        ಮಧುರ       3393 no
370         ಗಂಟೆ      25678 no
24         ಅಡುಗೆ      18102 no
1156        ರುಚಿ       8326 no
1006      ಮನಸ್ಸು      26041 no
             word  frequency
1272      ವೃಶ್ಚಿಕ       1549 no
1512         ಸಿರಿ       2345 no
674   ನಿಶ್ಚಿತಾರ್ಥ       4331 no
962          ಭಸ್ಮ       1218 no
651       ನಿಮಿತ್ತ       4897 no
437         ಚಂದ್ರ       9448 no
578           ದೂರ      25258 no
639           ನಾಶ       5569 no
144       ಆವೃತ್ತಿ      27846 no
650          ನಿಧಿ       6082 no
525         ತುಂಬಿ       9107 no
318          ಕೃತಕ       9727 no
1443         ಸಮಾನ       7267 no
1250      ವಿಲಕ್ಷಣ       1260 no
752       ಪಾರ್ಥಿವ       1930 no
461            ಜನ      83584
69         ಅಭ್ಯಾಸ      10652 no
158         ಉಗುರು       2309 no
1624       ಹುಟ್ಟಿ       4996 no
1339       ಶೃಂಗಾರ       1601 no
          word  frequency
51      ಅನುವಾದ       7994 no
495      ತತ್ತರ       1442 no
475        ಜಾಲ       5408 no
1653     ಹೋರಾಟ      29706 no
723        ಪರಮ       3258 no
1614     ಹಿಂದು       4713 no
60       ಅಬ್ಬರ       4122 no
1431        ಸಮ       2445 no
1328     ಶಿಲ್ಪ       1617 no
821     ಪ್ರಮಾಣ      31160 no
882        ಬರಹ      77658 no
951   ಬ್ರಾಹ್ಮಣ       5261 no
691      ನೇತ್ರ       1077 no
1391      ಸಂಪದ       4119
366      ಖ್ಯಾತ      19477 no 
906      ಬಾಲಿಶ       1331 no
1401   ಸಂಭಾವನೆ       6570 no
213     ಕಂಠೀರವ       1694 no
148       ಆಷಾಢ       1276 no
247       ಕರ್ಣ       1035 maybe
             word  frequency
1007          ಮನು       2468 no
946          ಬೇಲಿ       1597 no
79    ಅರ್ಥಶಾಸ್ತ್ರ       1722 no
1184         ವಜ್ರ       1589 no
1481         ಸಾಗರ       6257 no
1088          ಮೇಷ       2688 no
1213          ವಾಸ       4668 no
427         ಗ್ರಾಮ      37736 no
430          ಘಂಟೆ       2408 no
854        ಪ್ರೀತಿ      39167 no
1621       ಹಿಮಾಚಲ       3671 no
36        ಅಧ್ಯಕ್ಷ      97697 no
897        ಬಹುಮಾನ      11939 no
1097         ಮೋಡಿ       3389 no
1395      ಸಂಪೂರ್ಣ      48441 no
172       ಉದ್ದಿಮೆ       1200 no
945          ಬೇರು       2357 no
823       ಪ್ರಯತ್ನ      31615 no
476           ಜಾವ       3710 no
1173         ಲಿಪಿ       1810 no
           word  frequency
1340      ಶೇಕಡಾ       7842 no
878        ಬಯಕೆ       5691 no
857          ಫಲ       8205 no
1366       ಸಂಗಮ       2980 no
1555     ಸೋರಿಕೆ       4031 no
526       ತುಂಬು       2484 no
636         ನಾಮ       3618 yes
1120        ರಂಗ       7278 yes
1085       ಮೇಲು       2241 no
1175  ಲೆಕ್ಕಾಚಾರ       6132 no
941       ಬೆಳಕು      13821 no
1066     ಮುದ್ದು       4662 no
1083     ಮೆರುಗು       1221 no
1294    ವ್ಯಾಪಾರ      16059 no
530       ತುಪ್ಪ       5045 yes
763       ಪುರಾಣ       5772 no
1597        ಹನಿ       7721 no
419        ಗೋಲು       2999 no
929      ಬುತ್ತಿ       1908 no
1151       ರಾಶಿ      13934 yes
         word  frequency
216       ಕಂದ       1461 no
1222    ವಿಕಾಸ       3531 no
1655   ಹೋಳಿಗೆ       1020 no
1325  ಶಿಫಾರಸು      10380 no
1121  ರಂಗಭೂಮಿ       3608 no
6        ಅಂತು       1142 no
1012       ಮರ       9904 no
1629     ಹುಸಿ       1377 no 
1319     ಶಾಸನ       2577 no
1434      ಸಮಯ      48377 no
220      ಕಗ್ಗ       2793 no
953      ಭಜನೆ       1718  no
1194     ವರ್ಣ       1659 yes
1625   ಹುಟ್ಟು      10972 yes
693       ನೇರ      16126 yes
133      ಆರಂಭ      17848 no
251       ಕಲಹ       1270 no
279      ಕಾರಣ      97640 no
1628     ಹುಳಿ       2865 no
1084     ಮೇರು       1536 no
          word  frequency
1492  ಸಾಮರ್ಥ್ಯ      16509 no
751       ಪಾರು       3437 no
360    ಕ್ಷೇತ್ರ      24296 no
110     ಆಚಾರ್ಯ       5426 no
1240     ವಿನೋದ       2498 no
978      ಭೀಷ್ಮ       2633 no
275        ಕಾಮ       6731 no
314     ಕುಲಪತಿ       2880 no
656     ನಿರಂತರ      15153 no
1109    ಯಾತ್ರೆ       7842 no
722       ಪರದೆ       3804 no
923       ಬಿಸಿ      21623 no
598      ಧಕ್ಕೆ       3950 no
1265     ವಿಹಾರ       1859 no
847    ಪ್ರಾಚೀನ       8798 no
746       ಪಾಡು       1564 no 
472       ಜಾತಿ      28264 no
1528   ಸುಧಾರಣೆ       5760 no
1334     ಶೀಘ್ರ       6990 no
743     ಪವಿತ್ರ       9428 no
          word  frequency
1150      ರಾವಣ       1457 no
711      ಪತ್ತೆ      18827 no
758        ಪುಟ      27348 no
1572  ಸ್ಫೂರ್ತಿ       4546 no
607      ಧ್ಯೇಯ       2048 no
